Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
World Wide Fund for Nature,Prince Bernhard of LippeBiesterfeld,Prince Bernhard of LippeBiesterfeld,Prince Bernhard of LippeBiesterfeld a,P112,Forwards
Australian Government,Australia,Australia,The Australian Government also known as the Commonwealth Government is the national government of Australia a federal parliamentary constitutional monarchy,P208,Backwards
Trondheim,Norway,Norway,Trondheim UK ˈtrɒndhaɪm ˈtrɒnhaɪm US ˈtrɒnheɪm Urban East Norwegian160ˈtrɔ̂nhæɪm Southern Sami Tråante Kven Tronjami historically Kaupangen Nidaros and Trondhjem is a city and municipality in Trøndelag county Norway,P17,Forwards
Belgium,Europe,Europe,    Motto160Eendracht maakt macht160DutchLunion fait la force160FrenchEinigkeit macht stark160GermanUnity makes strengthAnthem160La BrabançonneEnglish The Brabantian Location of160Belgium160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityBrussels50°51′N 4°21′Exfeff  xfeff50850°N 4350°Exfeff  50850 4350Official160languagesDutchFrenchGermanReligion  2019,P361,Forwards
UK Export Finance,United Kingdom,United Kingdom,UK Export Finance UKEF is the operating name of the Export Credits Guarantee Department ECGD the United Kingdoms export credit agency and a ministerial department of the UK government,P17,Forwards
Ethiopia,Kenya,Kenya, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P530,Forwards
GNU,Richard Stallman,Richard Stallman,Richard Stallman the founder of the project views GNU as a technical means to a social end,P170,Forwards
Man and the Biosphere Programme,UNESCO,UNESCO,Man and the Biosphere Programme MAB is an intergovernmental scientific program launched in 1971 by UNESCO that aims to establish a scientific basis for the improvement of relationships between people and their environments,P664,Forwards
Earth,Sun,Sun,Earth is the third planet from the Sun and the only astronomical object known to harbor and support life,P398,Backwards
New York State Museum,United States,United States,The New York State Museum is a researchbacked institution in Albany New York United States,P17,Forwards
Austria,Hungary,Hungary,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P47,Backwards
Sabah,Borneo,Borneo,Sabah Malay pronunciation160saˈbah is a state of Malaysia located on the northern portion of Borneo in the region of East Malaysia,P706,Forwards
Bhutan,India,India,It is bordered by China to the north and India to the south,P530,Forwards
Florida,Atlantic Ocean,Atlantic Ocean,About twothirds of Florida occupies a peninsula between the Gulf of Mexico and the Atlantic Ocean,P1589,Forwards
Cycling in Copenhagen,Copenhagen,Copenhagen,Cycling in Copenhagen is – as with most cycling in Denmark – an important mode of transportation and a dominating feature of the cityscape often noticed by visitors,P276,Forwards
Scandic Hotels,Sweden,Sweden,Alongside hotels in Sweden Norway Finland and Denmark the company also has a presence in Germany and Poland,P17,Forwards
Finland,Sweden,Sweden,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P530,Backwards
Europe,Euro,euro,The currency of most countries of the European Union the euro is the most commonly used among Europeans and the EUs Schengen Area abolishes border and immigration controls between most of its member states and some nonmembers states,P138,Backwards
Bridges to Prosperity,Nonprofit organization,nonprofit organization,Bridges to Prosperity is a United Statesbased nonprofit organization that partners with local governments to connect communities via pedestrian bridges,P31,Forwards
BorjomiKharagauli National Park,Borjomi,Borjomi,One of the largest national parks in Georgia BorjomiKharagauli National Park includes six municipalities  Borjomi Kharagauli Akhaltsikhe Adigeni Khashuri and Baghdati  stretching from the resort of Borjomi to the town of Kharagauli,P7153,Forwards
Germany,Belgium,Belgium,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Climate Week NYC,The Climate Group,The Climate Group,Climate Week NYC is run by The Climate Group,P664,Forwards
Sierra Club,United States,United States,The Sierra Club is an environmental organization with chapters in all 50 United States Washington DC and Puerto Rico,P17,Forwards
Bea Johnson,Zero waste,Zero waste,MovementZero wasteSpousesScott JohnsonChildrenMax and LeoWebsitezerowastehomecom,P135,Forwards
West Africa,Ivory Coast,Ivory Coast,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P527,Forwards
University of Oxford,Oxford University Press,university press,Oxford operates the worlds oldest university museum as well as the largest university press in the world and the largest academic library system nationwide,P355,Forwards
History of economic thought,Economics,economics,The history of economic thought was the philosophy that dealt with different thinkers and theories in the subject that later became political economy and economics from the ancient world to the present day in the 21st Century,P2184,Backwards
The Limits to Growth,Economic growth,economic,The Limits to Growth LTG is a 1972 report on the exponential economic and population growth with a finite supply of resources studied by computer simulation,P921,Forwards
Atlantic dry forests,Brazil,Brazil,The Atlantic dry forests are a tropical dry forest ecoregion of the Atlantic Forest Biome located in eastern Brazil,P17,Forwards
North Region Brazil,Brazil,Brazil,The North Region of Brazil Portuguese Região Norte do Brasil ʁeʒiˈɐ̃w̃ ˈnɔʁtʃi du bɾaˈziw is the largest Region of Brazil corresponding to 4527 of the national territory,P131,Forwards
Philippines,Metro Manila,Metro Manila,  While Manila is designated as the nations capital the seat of government is the National Capital Region commonly known as Metro Manila of which the city of Manila is a part,P17,Backwards
Malta,European Union,European Union,It has been a member state of the Commonwealth of Nations and the United Nations since independence and joined the European Union in 2004 it became part of the eurozone monetary union in 2008,P463,Forwards
Grain for Green,China,China,China started the Grain for Green program in the western parts of the country for example Shanxi Province,P17,Forwards
COVID19,COVID19 pandemic,ongoing pandemic,The disease has since spread worldwide leading to an ongoing pandemic,P793,Forwards
Canada,United Kingdom,United Kingdom,This began an accretion of provinces and territories and a process of increasing autonomy from the United Kingdom,P530,Backwards
Betung Kerihun National Park,Indonesia,Indonesia,Betung Kerihun National Park previously Bentuang Karimun is a national park in the province of West Kalimantan on the island of Borneo Indonesia,P17,Forwards
Environmental issues in Kenya,Environmental issues,Environmental issues,Environmental issues in Kenya include deforestation soil erosion desertification water shortage and degraded water quality flooding poaching and domestic and industrial pollution,P279,Forwards
Georg Ludwig Hartig,Forestry,forester,Georg Ludwig Hartig September 2 1764 – February 2 1837 was a German forester,P101,Forwards
Centre for Finance and Development,Geneva,Geneva,Centre for Finance and DevelopmentCentre for Finance and Development LogoFormation20121602012FoundersJeanLouis Arcand Ugo PanizzaHeadquartersGenevaLocationMaison de la paixFieldsDevelopment economics International finance MicroeconomicsDirectorNathan SussmanKey peopleUgo Panizza Cédric Tille Charles Wyplosz Lore Vandewalle Huang YiParent organizationGraduate Institute of International and Development StudiesWebsitegraduateinstitutechcfd,P159,Forwards
Philippines,United Nations,United Nations,The Philippines is a founding member of the United Nations World Trade Organization Association of Southeast Asian Nations the AsiaPacific Economic Cooperation forum and the East Asia Summit,P463,Forwards
Kwara State,Nigeria,Nigeria,Kwara Yoruba Ìpínlẹ̀ Kwárà is a state in Western  Nigeria,P131,Forwards
Austria,European Union,European Union,  There is an official dictionary the Österreichisches Wörterbuch published on commission by the Austrian Ministry of Education  Croatian Czech Hungarian Romani Slovak and Slovene are officially recognised by the European Charter for Regional or Minority Languages ECRML  Austrian schilling before 1999 Virtual Euro since 1 January 1999 Euro since 1 January 2002  The eu domain is also used as it is shared with other European Union member states,P527,Backwards
